4 3 4 4 1 | 2 14 60
4 3 4 4 2 | 2 14 61
4 3 4 4 3 | 2 15 60
4 3 4 4 4 | 2 15 61
4 4 0 0 1 | 2 8 62
4 4 0 0 3 | 2 9 62
4 4 0 1 2 | 2 8 65
4 4 0 1 3 | 2 9 64
4 4 0 3 1 | 2 10 64
4 4 0 3 2 | 2 10 65
4 4 0 4 1 | 2 10 66
4 4 0 4 3 | 2 11 66
4 4 1 0 0 | 1 223
4 4 1 0 2 | 2 8 69
4 4 1 0 4 | 1 224
4 4 1 1 0 | 2 8 70
4 4 1 1 1 | 2 8 71
4 4 1 1 4 | 2 9 72
4 4 1 2 0 | 2 8 73
4 4 1 2 1 | 2 8 74
4 4 1 2 2 | 2 8 75
4 4 1 2 3 | 2 9 74
4 4 1 2 4 | 2 9 75
4 4 1 3 0 | 2 10 70
4 4 1 3 3 | 2 11 71
4 4 1 3 4 | 2 11 72
4 4 1 4 0 | 1 225
4 4 1 4 2 | 2 10 75
4 4 1 4 4 | 1 226
4 4 2 0 1 | 2 8 76
4 4 2 0 3 | 2 9 76
4 4 2 1 2 | 2 8 79
4 4 2 1 3 | 2 9 78
4 4 2 3 1 | 2 10 78
4 4 2 3 2 | 2 10 79
4 4 2 4 1 | 2 10 80
4 4 2 4 3 | 2 11 80
4 4 3 0 0 | 1 227
4 4 3 0 2 | 2 12 69
4 4 3 0 4 | 1 228
4 4 3 1 0 | 2 12 70
4 4 3 1 1 | 2 12 71
4 4 3 1 4 | 2 13 72
4 4 3 2 0 | 2 12 73
4 4 3 2 1 | 2 12 74
4 4 3 2 2 | 2 12 75
4 4 3 2 3 | 2 13 74
4 4 3 2 4 | 2 13 75
4 4 3 3 0 | 2 14 70
4 4 3 3 3 | 2 15 71
4 4 3 3 4 | 2 15 72
4 4 3 4 0 | 1 229
4 4 3 4 2 | 2 14 75
4 4 3 4 4 | 1 230
4 4 4 0 1 | 2 12 76
4 4 4 0 3 | 2 13 76
4 4 4 1 2 | 2 12 79
4 4 4 1 3 | 2 13 78
4 4 4 3 1 | 2 14 78
4 4 4 3 2 | 2 14 79
4 4 4 4 1 | 2 14 80
4 4 4 4 3 | 2 15 80
6 0 0 1 0 | 2 0 81
6 0 0 1 3 | 2 0 82
6 0 0 1 6 | 2 1 82
6 0 0 2 3 | 2 0 84
6 0 0 4 3 | 2 2 82
6 0 0 5 0 | 2 2 83
6 0 0 5 3 | 2 2 84
6 0 0 5 6 | 2 3 84
6 0 1 0 3 | 2 0 87
6 0 1 0 5 | 2 1 86
6 0 1 1 2 | 3 0 1 24
6 0 1 1 3 | 3 0 1 25
6 0 1 3 1 | 3 0 2 25
6 0 1 3 2 | 2 0 90
6 0 1 3 3 | 2 0 91
6 0 1 3 4 | 3 0 3 26
6 0 1 4 3 | 3 0 3 28
6 0 1 4 5 | 3 1 3 28
6 0 1 5 1 | 2 2 88
6 0 1 5 4 | 2 3 88
6 0 1 6 3 | 2 2 91
6 0 1 6 5 | 2 3 90
6 0 2 2 1 | 3 0 2 30
6 0 2 2 3 | 3 0 1 34
6 0 2 3 0 | 2 0 96
6 0 2 3 1 | 2 0 97
6 0 2 3 2 | 3 0 2 33
6 0 2 3 5 | 3 1 3 32
6 0 2 3 6 | 2 1 98
6 0 2 4 5 | 2 3 95
6 0 2 5 3 | 3 2 3 32
6 0 2 5 4 | 3 2 3 33
6 0 4 1 2 | 3 0 4 33
6 0 4 1 3 | 3 0 5 32
6 0 4 2 1 | 2 4 88
6 0 4 3 0 | 2 4 89
6 0 4 3 1 | 3 0 6 32
6 0 4 3 4 | 3 0 7 33
6 0 4 3 5 | 2 5 90
6 0 4 3 6 | 2 5 91
6 0 4 4 3 | 3 0 7 34
6 0 4 4 5 | 3 1 7 34
6 0 5 0 1 | 2 4 93
6 0 5 0 3 | 2 4 94
6 0 5 1 2 | 2 4 95
6 0 5 1 5 | 2 5 95
6 0 5 2 1 | 3 4 6 22
6 0 5 2 3 | 3 4 5 28
6 0 5 3 2 | 3 4 6 26
6 0 5 3 3 | 2 4 98
6 0 5 3 4 | 2 5 97
6 0 5 3 5 | 3 5 7 25
6 0 5 5 3 | 3 6 7 25
6 0 5 5 4 | 3 6 7 26
6 0 5 6 1 | 2 6 97
6 0 5 6 3 | 2 6 98
6 0 6 1 0 | 2 4 99
6 0 6 1 3 | 2 4 100
6 0 6 1 6 | 2 5 100
